X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
13.74132,51.04641,2,50,0,0
8.34681,49.62934,2,50,0,0
9.78166,52.42490,2,50,0,0
13.02871,51.07692,2,50,0,0
11.50695,48.16389,2,50,0,0
8.67063,49.40789,2,50,0,0
13.75794,51.06323,2,50,0,0
13.90852,50.95666,2,60,0,0
8.79401,48.72839,2,60,0,0
13.32212,52.57702,2,50,0,0
13.81325,51.09010,2,50,0,0
13.35018,52.50305,2,50,0,0
12.06900,54.15193,2,60,0,0
8.77719,48.91946,2,70,0,0
13.38555,52.46971,2,50,0,0
13.74125,51.04650,2,50,0,0
13.42913,54.67696,2,50,0,0
7.21181,51.48290,2,50,0,0
13.73314,51.04668,2,50,0,0
8.77633,48.91942,2,70,0,0
6.13090,50.83100,2,50,0,0
13.13849,51.12130,2,50,0,0
8.69752,50.11334,2,30,0,0
8.64629,49.88192,2,50,0,0
11.84397,47.74638,2,50,0,0
9.57039,53.50752,2,60,0,0
6.92083,51.29599,2,50,0,0
13.07785,52.57821,2,50,0,0
8.80257,50.13701,2,60,0,0
8.81806,50.12000,2,50,0,0
10.06751,53.58234,2,50,0,0
9.16368,48.89012,2,50,0,0
9.31927,48.72648,2,50,0,0
9.30563,48.70562,2,50,0,0
13.13889,51.12111,2,50,0,0
8.57894,50.01256,2,50,0,0
7.76917,49.44575,2,50,0,0
7.06157,50.71600,2,40,0,0
8.54753,52.00672,2,50,0,0
8.91243,48.95340,2,60,0,0
8.55180,49.98012,2,50,0,0
8.80708,53.07498,2,50,0,0
12.09380,54.09480,2,50,0,0
9.30614,48.70553,2,50,0,0
8.57512,49.98170,2,70,0,0
11.50279,48.12583,2,50,0,0
7.42435,52.43032,2,70,0,0
13.93978,51.86525,2,30,0,0
9.34038,48.73330,2,50,0,0
13.73312,51.04674,2,50,0,0
8.26601,50.29826,2,50,0,0
11.50304,48.14328,2,50,0,0
10.13328,54.31829,2,50,0,0
14.97945,51.13889,2,50,0,0
10.78498,52.42182,2,50,0,0
11.66478,48.12133,2,50,0,0
7.63038,51.96699,2,50,0,0
8.69511,50.01509,2,30,0,0
