X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
1.374.132;5.104.641;2;50;0;0
834.681;4.962.934;2;50;0;0
978.166;5.242.490;2;50;0;0
1.302.871;5.107.692;2;50;0;0
1.150.695;4.816.389;2;50;0;0
867.063;4.940.789;2;50;0;0
1.375.794;5.106.323;2;50;0;0
1.390.852;5.095.666;2;60;0;0
879.401;4.872.839;2;60;0;0
1.332.212;5.257.702;2;50;0;0
1.381.325;5.109.010;2;50;0;0
1.335.018;5.250.305;2;50;0;0
1.206.900;5.415.193;2;60;0;0
877.719;4.891.946;2;70;0;0
1.338.555;5.246.971;2;50;0;0
1.374.125;5.104.650;2;50;0;0
1.342.913;5.467.696;2;50;0;0
721.181;5.148.290;2;50;0;0
1.373.314;5.104.668;2;50;0;0
877.633;4.891.942;2;70;0;0
613.090;5.083.100;2;50;0;0
1.313.849;5.112.130;2;50;0;0
869.752;5.011.334;2;30;0;0
864.629;4.988.192;2;50;0;0
1.184.397;4.774.638;2;50;0;0
957.039;5.350.752;2;60;0;0
692.083;5.129.599;2;50;0;0
1.307.785;5.257.821;2;50;0;0
880.257;5.013.701;2;60;0;0
881.806;5.012.000;2;50;0;0
1.006.751;5.358.234;2;50;0;0
916.368;4.889.012;2;50;0;0
931.927;4.872.648;2;50;0;0
930.563;4.870.562;2;50;0;0
1.313.889;5.112.111;2;50;0;0
857.894;5.001.256;2;50;0;0
776.917;4.944.575;2;50;0;0
706.157;5.071.600;2;40;0;0
854.753;5.200.672;2;50;0;0
891.243;4.895.340;2;60;0;0
855.180;4.998.012;2;50;0;0
880.708;5.307.498;2;50;0;0
1.209.380;5.409.480;2;50;0;0
930.614;4.870.553;2;50;0;0
857.512;4.998.170;2;70;0;0
1.150.279;4.812.583;2;50;0;0
742.435;5.243.032;2;70;0;0
1.393.978;5.186.525;2;30;0;0
934.038;4.873.330;2;50;0;0
1.373.312;5.104.674;2;50;0;0
826.601;5.029.826;2;50;0;0
1.150.304;4.814.328;2;50;0;0
1.013.328;5.431.829;2;50;0;0
1.497.945;5.113.889;2;50;0;0
1.078.498;5.242.182;2;50;0;0
