X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
-27.1933600,38.6855600,1,100,0,0
-27.1396700,38.7528100,1,100,0,0
-25.6420300,37.7455800,1,50,0,0
-25.6340300,37.7483900,1,50,0,0
-25.6245000,37.7518600,1,50,0,0
-23.1240800,66.1189700,1,70,0,0
-22.6614700,64.0273600,1,90,0,0
-22.6600600,64.0270300,1,90,0,0
-22.6024700,64.0438900,1,90,0,0
-21.9472500,64.4232200,1,90,0,0
-21.9465600,64.4230300,1,90,0,0
-21.8491700,64.3833100,1,90,0,0
-21.1520600,63.9799400,1,90,0,0
-21.1067800,63.9583100,1,90,0,0
-18.8851700,66.1248900,1,70,0,0
-18.6817800,66.0744700,1,70,0,0
-17.8522200,28.6536100,1,50,0,0
-16.5832200,28.0579200,1,120,0,0
-16.4268100,28.4726400,1,100,0,0
-16.3744400,28.4910800,1,120,0,0
-16.3628600,28.3823300,1,100,0,0
-16.3076400,28.4793300,1,60,0,0
-16.3073300,28.4761400,1,60,0,0
-15.6745300,27.7701400,1,100,0,0
-15.6538300,28.1366100,1,90,0,0
-15.5502800,27.7749400,1,100,0,0
-15.5100000,28.1165000,1,40,0,0
-15.4377200,28.0636900,1,80,0,0
-15.4238600,28.0472500,1,100,0,0
-15.4161400,28.0865800,1,80,0,0
-15.4160600,28.0792800,1,80,0,0
-15.4008100,28.0312800,1,100,0,0
-15.3874200,27.9516100,1,100,0,0
-15.3872200,27.9489700,1,100,0,0
-14.1972200,65.0097800,1,70,0,0
-14.1748100,64.9614200,1,70,0,0
-13.8688900,28.4810000,1,90,0,0
-13.8683300,28.4748300,1,90,0,0
-13.5787800,28.9578600,1,100,0,0
-13.5787200,28.9580000,1,100,0,0
-9.3004700,38.7662500,1,30,0,0
-9.2148600,38.7111100,1,50,0,0
-9.2071100,38.6947800,1,50,0,0
-9.2065300,38.7575800,1,70,0,0
-9.2053100,38.7433600,1,70,0,0
-9.2025000,38.6953300,1,50,0,0
-9.1937800,38.7453600,1,80,0,0
-9.1827800,38.7434700,1,80,0,0
-9.1781900,38.7413900,1,80,0,0
-9.1754700,38.7166700,1,50,0,0
-9.1753300,38.7166700,1,50,0,0
-9.1631700,38.7237500,1,50,0,0
-9.1538900,38.7250600,1,50,0,0
-9.1494400,38.7512500,1,50,0,0
-9.1477800,38.7451700,1,50,0,0
-9.1433300,38.7418600,1,50,0,0
-9.1401900,38.7630600,1,80,0,0
-9.1306700,38.7525000,1,50,0,0
-9.1298100,38.7416700,1,50,0,0
-9.1236100,38.7783300,1,80,0,0
-9.1219400,38.7480800,1,80,0,0
-9.1202800,38.7482800,1,80,0,0
-9.1162500,38.7596700,1,50,0,0
-9.1042200,38.7341900,1,50,0,0
-9.1040000,38.7342500,1,50,0,0
-8.9022500,42.6508600,1,100,0,0
-8.8744200,41.9056400,1,50,0,0
-8.8422200,42.6752800,1,100,0,0
-8.8027800,42.4362200,1,120,0,0
-8.7871100,42.5858300,1,50,0,0
-8.7749400,42.2094400,1,40,0,0
-8.7636900,42.2139700,1,50,0,0
-8.7566700,42.2177800,1,80,0,0
-8.7414200,42.5708600,1,100,0,0
-8.7375300,42.3080000,1,100,0,0
-8.7210800,42.1918900,1,50,0,0
-8.7189400,42.2407200,1,50,0,0
-8.7185300,42.1925000,1,70,0,0
-8.7183600,42.1968600,1,70,0,0
-8.7153600,42.7280000,1,100,0,0
-8.7142200,42.2397500,1,50,0,0
-8.7128600,42.5085800,1,120,0,0
-8.6956900,42.2470600,1,100,0,0
-8.6863900,42.2960600,1,100,0,0
-8.6856900,42.2515600,1,100,0,0
-8.6842200,42.2173900,1,80,0,0
-8.6624400,42.2114700,1,80,0,0
-8.6567200,42.1991900,1,60,0,0
-8.6508300,42.4230600,1,120,0,0
-8.6494200,42.7885600,1,80,0,0
-8.6373900,42.1870000,1,80,0,0
-8.6358600,42.6684400,1,70,0,0
